bloque,familia_politica
identidad bonaerense,provincial_federal
peronismo para la victoria,peronismo_kirchnerismo
coalicion civica - ari,centro_derecha
coalicion civica ari - unen,centro_derecha
suma + unen,radicalismo
del bicentenario,otros
partido bloquista de san juan,provincial_federal
union por cordoba,peronismo_federal
valores republicanos,centro_derecha
compromiso con san juan,provincial_federal
juntos por argentina,centro_derecha
futuro y libertad,derecha_liberal_libertaria
frente de la concordia misionero,provincial_federal
misiones,provincial_federal
frente progresista civico y social,centro_izquierda
democrata progresista,centro_derecha
partido propuesta salteña,provincial_federal
libres del sur,centro_izquierda
union por entre rios,provincial_federal
bloque de los trabajadores,izquierda
union peronista,peronismo_federal
defendamos córdoba,provincial_federal
democrata de mendoza,centro_derecha
sin bloque,sin_bloque
izquierda socialista fit-unidad,izquierda
movimiento evita,peronismo_kirchnerismo
frente de izquierda y de los trabajadores,izquierda
partido obrero frente de izquierda y de trabajadores unidad,izquierda
partido obrero frente de izquierda y de trabajadores - uni,izquierda
partido obrero-frente de izquierda y trabajadores unidad,izquierda
juntos somos rio negro,provincial_federal
somos,provincial_federal
conservador popular,centro_derecha
buenos aires por el cambio,centro_derecha
avanza libertad,derecha_liberal_libertaria
socialista,centro_izquierda
renovador social cristiano,centro_derecha
bloque social cristiano,centro_derecha
partido federal fueguino,provincial_federal
mid - movimiento de integración y desarrollo,centro_derecha
somos mendoza,provincial_federal
independencia,provincial_federal
primero san luis,provincial_federal
partido justicialista la pampa,peronismo_federal
partido justicialista pampeano,peronismo_federal
movimiento popular neuquino,provincial_federal
renovador de salta,provincial_federal
santa fe en movimiento,provincial_federal
corriente peronista federal,peronismo_federal
corriente de pensamiento federal,peronismo_federal
somos fueguinos,provincial_federal
izquierda socialista - frente de izquierda,izquierda
no integra bloque,sin_bloque
frente norte,provincial_federal
solidario si,centro_izquierda
valores para mi pais,centro_derecha
union por san juan,provincial_federal
peronista salteño,peronismo_federal
republicanos unidos,derecha_liberal_libertaria
buenos aires para todos en proyecto sur,centro_izquierda
nacional y popular,peronismo_kirchnerismo
buenos aires libre,centro_derecha
peronismo jujeño,peronismo_federal
la unión mendocina,provincial_federal
movimiento solidario popular,centro_izquierda
la neuquinidad,provincial_federal
justicialista por tucuman,peronismo_federal
defendamos santa fe,provincial_federal
ahora patria,derecha_liberal_libertaria
cultura educacion y trabajo,peronismo_federal
cordoba trabajo y produccion,provincial_federal
unidad para el desarrollo social y la equidad,centro_derecha
salta somos todos,provincial_federal
creo,provincial_federal
primero tucuman,provincial_federal
somos san juan,provincial_federal
concertacion forja,peronismo_kirchnerismo
pro y union por entre rios,centro_derecha
socialista del mijd,centro_izquierda
frente por la inclusion social,provincial_federal
unipersonal,sin_bloque
dialogo y trabajo,provincial_federal
partido intransigente,centro_izquierda
bloque protectora,provincial_federal
primero argentina,otros
frente renovador peronista,peronismo_federal
justicialista de la provincia de buenos aires,peronismo_federal
nuevo espacio santafesino,provincial_federal
democracia igualitaria y participativa (d.i.p.),centro_izquierda
movimiento nacional alfonsinista,radicalismo
peronismo mas al sur,peronismo_federal
encuentro por corrientes,provincial_federal
chubut somos todos,provincial_federal
integracion y desarrollo chubutense,provincial_federal
juntos por el cambio chubut,centro_derecha
partido de la concertacion - forja,peronismo_kirchnerismo
frente peronista federal,peronismo_federal
el chacho,provincial_federal
libertad y democracia,derecha_liberal_libertaria
libertad valores y cambio,derecha_liberal_libertaria
